tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,propietario_id
INSCRIPCION INICIAL NACIONAL,2024-02-15,2024-02-15,1200,Nacional,2024.0,20,PICK-UP,AD,ZANELLA,03,Z TRUCK CS,1.0,Privado,12929.0
INSCRIPCION INICIAL NACIONAL,2024-02-29,2024-02-29,1217,Nacional,2024.0,20,PICK-UP,68,TOYOTA,BH,HILUX 4X4 DC SRX 2.8 TDI 6 AT,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-07,2024-02-07,1171,Nacional,2024.0,20,PICK-UP,19,FORD,1L,RANGER DC XLS 2.0L T 4X2 MT D,1.0,Privado,879.0
INSCRIPCION INICIAL NACIONAL,2024-02-08,2024-02-08,1217,Nacional,2024.0,20,PICK-UP,53,VOLKSWAGEN,8Z,AMAROK TRENDLINE CD TDI MT 4X2,1.0,Privado,13102.0
INSCRIPCION INICIAL NACIONAL,2024-02-02,2024-02-02,1208,Nacional,2024.0,20,PICK-UP,53,VOLKSWAGEN,9N,AMAROK COMFORTLINE CD V6 AT 4X4,1.0,Privado,7248.0
INSCRIPCION INICIAL NACIONAL,2024-02-20,2024-02-20,1196,Nacional,2024.0,20,PICK-UP,19,FORD,1M,RANGER DC XL 2.0L T 4X2 MT D,1.0,Privado,5857.0
INSCRIPCION INICIAL NACIONAL,2024-02-28,2024-02-28,1208,Nacional,2024.0,20,PICK-UP,53,VOLKSWAGEN,9K,AMAROK HIGHLINE P1 CD V6 AT 4X4,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-06,2024-02-06,1212,Nacional,2024.0,20,PICK-UP,53,VOLKSWAGEN,8Z,AMAROK TRENDLINE CD TDI MT 4X2,1.0,Privado,584.0
INSCRIPCION INICIAL NACIONAL,2024-02-07,2024-02-07,1212,Nacional,2024.0,20,PICK-UP,68,TOYOTA,BJ,HILUX 4X4 DC SRV 2.8 TDI 6 MT,1.0,Privado,602.0
INSCRIPCION INICIAL NACIONAL,2024-02-15,2024-02-15,1171,Nacional,2024.0,20,PICK-UP,68,TOYOTA,CD,HILUX 4X2 DC SRV 2.8 TDI 6 AT,1.0,Privado,891.0
INSCRIPCION INICIAL NACIONAL,2024-02-19,2024-02-19,1171,Nacional,2024.0,20,PICK-UP,53,VOLKSWAGEN,9M,AMAROK BLACK STYLE CD V6 AT 4X4,1.0,Privado,885.0
INSCRIPCION INICIAL NACIONAL,2024-02-07,2024-02-07,1207,Nacional,2024.0,20,PICK-UP,68,TOYOTA,BM,HILUX 4X4 DC DX 2.4 TDI 6 MT,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-09,2024-02-09,1184,Nacional,2024.0,20,PICK-UP,19,FORD,1M,RANGER DC XL 2.0L T 4X2 MT D,1.0,Privado,6957.0
INSCRIPCION INICIAL NACIONAL,2024-02-23,2024-02-23,1195,Nacional,2024.0,20,PICK-UP,19,FORD,1J,RANGER DC LTD 2.0L BIT 4X4 10AT D,1.0,Privado,11884.0
INSCRIPCION INICIAL NACIONAL,2024-02-01,2024-02-01,1208,Nacional,2024.0,20,PICK-UP,AC,NISSAN,17,FRONTIER S 4X2 AT 2.3 D CD,1.0,Privado,4786.0
INSCRIPCION INICIAL NACIONAL,2024-02-22,2024-02-22,1196,Nacional,2024.0,20,PICK-UP,19,FORD,1M,RANGER DC XL 2.0L T 4X2 MT D,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-08,2024-02-08,1172,Nacional,2024.0,20,PICK-UP,53,VOLKSWAGEN,9J,AMAROK HIGHLINE CD V6 AT 4X4,1.0,Privado,11748.0
INSCRIPCION INICIAL NACIONAL,2024-02-19,2024-02-19,1171,Nacional,2024.0,20,PICK-UP,53,VOLKSWAGEN,8Z,AMAROK TRENDLINE CD TDI MT 4X2,1.0,Privado,893.0
INSCRIPCION INICIAL NACIONAL,2024-02-08,2024-02-08,1208,Nacional,2024.0,20,PICK-UP,53,VOLKSWAGEN,9K,AMAROK HIGHLINE P1 CD V6 AT 4X4,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-06,2024-02-06,1173,Nacional,2024.0,20,PICK-UP,37,RENAULT,5V,ALASKAN INTENS 2.3 DCI 190 2WD AT,1.0,Privado,968.0
INSCRIPCION INICIAL NACIONAL,2024-02-28,2024-02-28,1196,Nacional,2024.0,20,PICK-UP,19,FORD,1J,RANGER DC LTD 2.0L BIT 4X4 10AT D,1.0,Privado,5859.0
INSCRIPCION INICIAL NACIONAL,2024-02-19,2024-02-19,1211,Nacional,2024.0,20,PICK-UP,19,FORD,1J,RANGER DC LTD 2.0L BIT 4X4 10AT D,1.0,Privado,8843.0
INSCRIPCION INICIAL NACIONAL,2024-02-27,2024-02-27,1210,Nacional,2024.0,20,PICK-UP,19,FORD,1M,RANGER DC XL 2.0L T 4X2 MT D,1.0,Privado,7380.0
INSCRIPCION INICIAL NACIONAL,2024-02-29,2024-02-29,1195,Nacional,2023.0,20,PICK-UP,37,RENAULT,5J,ALASKAN INTENS 2.3 DCI 190 4WD AT,1.0,Privado,9308.0
INSCRIPCION INICIAL NACIONAL,2024-02-28,2024-02-28,1178,Nacional,2024.0,20,PICK-UP,19,FORD,1P,RANGER DC XLT 2.0L BIT 4X2 10AT D,1.0,Privado,8922.0
INSCRIPCION INICIAL NACIONAL,2024-02-20,2024-02-20,1210,Nacional,2024.0,20,PICK-UP,68,TOYOTA,BH,HILUX 4X4 DC SRX 2.8 TDI 6 AT,1.0,Privado,7404.0
INSCRIPCION INICIAL NACIONAL,2024-02-28,2024-02-28,1210,Nacional,2024.0,20,PICK-UP,19,FORD,1K,RANGER DC XLT 2.0L BIT 4X4 10AT D,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-15,2024-02-15,1210,Nacional,2024.0,20,PICK-UP,68,TOYOTA,BR,HILUX 4X2 DC SR 2.4 TDI 6 MT,1.0,Privado,7376.0
INSCRIPCION INICIAL NACIONAL,2024-02-23,2024-02-23,1195,Nacional,2024.0,20,PICK-UP,19,FORD,1H,RANGER DC XLS 3.0L V6 4X4 10AT D,1.0,Privado,12130.0
INSCRIPCION INICIAL NACIONAL,2024-02-01,2024-02-01,1168,Nacional,2024.0,20,PICK-UP,19,FORD,1J,RANGER DC LTD 2.0L BIT 4X4 10AT D,1.0,Privado,3727.0
INSCRIPCION INICIAL NACIONAL,2024-02-27,2024-02-27,1211,Nacional,2024.0,20,PICK-UP,53,VOLKSWAGEN,9M,AMAROK BLACK STYLE CD V6 AT 4X4,1.0,Privado,8843.0
INSCRIPCION INICIAL NACIONAL,2024-02-19,2024-02-19,1211,Nacional,2024.0,20,PICK-UP,19,FORD,1G,RANGER DC LTD+ 3.0L V6 4X4 10AT D,1.0,Privado,8848.0
INSCRIPCION INICIAL NACIONAL,2024-02-08,2024-02-08,1218,Nacional,2024.0,20,PICK-UP,68,TOYOTA,BL,HILUX 4X4 DC SR 2.8 TDI 6 MT,1.0,Privado,2117.0
INSCRIPCION INICIAL NACIONAL,2024-02-28,2024-02-28,1195,Nacional,2024.0,20,PICK-UP,53,VOLKSWAGEN,8Z,AMAROK TRENDLINE CD TDI MT 4X2,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-26,2024-02-26,1211,Nacional,2024.0,20,PICK-UP,19,FORD,1J,RANGER DC LTD 2.0L BIT 4X4 10AT D,1.0,Privado,8831.0
INSCRIPCION INICIAL NACIONAL,2024-02-28,2024-02-28,1195,Nacional,2024.0,20,PICK-UP,53,VOLKSWAGEN,9F,AMAROK COMFORTLINE CD TDI AT 4X2,1.0,Privado,3503.0
INSCRIPCION INICIAL NACIONAL,2024-02-23,2024-02-23,1209,Nacional,2024.0,20,PICK-UP,19,FORD,1H,RANGER DC XLS 3.0L V6 4X4 10AT D,1.0,Privado,5075.0
INSCRIPCION INICIAL NACIONAL,2024-02-08,2024-02-08,1207,Nacional,2024.0,20,PICK-UP,68,TOYOTA,BM,HILUX 4X4 DC DX 2.4 TDI 6 MT,1.0,Privado,
